"no_reg","pilihan"
"231000820","Teman "
"231000820","Jejaring Sosial"
"231000821","Website infopmb.itpln.ac.id"
"231000822","Teman "
"231000823","Guru / Sekolah"
"231000824","Website infopmb.itpln.ac.id"
"231000824","Teman "
"231000825","Guru / Sekolah"
"231000827","Website infopmb.itpln.ac.id"
"231000828","Teman "
"231000828","Website infopmb.itpln.ac.id"
"231000828","Guru / Sekolah"
"231000829","Website infopmb.itpln.ac.id"
"231000830","Website infopmb.itpln.ac.id"
"231000830","Teman "
"231000831","Guru / Sekolah"
"231000832","Jejaring Sosial"
"231000832","Media Elektronik (Televisi, Radio)"
"231000832","Teman "
"231000833","Website infopmb.itpln.ac.id"
"231000835","Website infopmb.itpln.ac.id"
"231000835","Teman "
"231000836","Media Elektronik (Televisi, Radio)"
"231000837","Website infopmb.itpln.ac.id"
"231000838","Teman "
"231000839","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000839","Website Lain"
"231000839","Jejaring Sosial"
"231000839","Teman "
"231000839","Website infopmb.itpln.ac.id"
"231000840","Website infopmb.itpln.ac.id"
"231000841","Website infopmb.itpln.ac.id"
"231000842","Website infopmb.itpln.ac.id"
"231000843","Website infopmb.itpln.ac.id"
"231000844","Website infopmb.itpln.ac.id"
"231000845","Teman "
"231000845","Guru / Sekolah"
"231000845","Website infopmb.itpln.ac.id"
"231000846","Jejaring Sosial"
"231000847","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000847","Media Elektronik (Televisi, Radio)"
"231000847","Jejaring Sosial"
"231000847","Website infopmb.itpln.ac.id"
"231000848","Teman "
"231000849","Email / SMS Broadcast"
"231000850","Website infopmb.itpln.ac.id"
"231000850","Jejaring Sosial"
"231000851","Media Cetak (Surat Kabar, Koran, Majalah)"
"231000851","Jejaring Sosial"
"231000851","Website infopmb.itpln.ac.id"
"231000851","Website Lain"
"231000851","Teman "
"231000851","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000852","Website infopmb.itpln.ac.id"
"231000853","Jejaring Sosial"
"231000854","Jejaring Sosial"
"231000855","Website infopmb.itpln.ac.id"
"231000855","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000855","Teman "
"231000856","Guru / Sekolah"
"231000858","Website Lain"
"231000858","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000858","Media Cetak (Surat Kabar, Koran, Majalah)"
"231000858","Jejaring Sosial"
"231000859","Website infopmb.itpln.ac.id"
"231000859","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000859","Media Cetak (Surat Kabar, Koran, Majalah)"
"231000860","Website infopmb.itpln.ac.id"
"231000861","Jejaring Sosial"
"231000862","Website infopmb.itpln.ac.id"
"231000862","Teman "
"231000862","Jejaring Sosial"
"231000863","Website infopmb.itpln.ac.id"
"231000865","Website infopmb.itpln.ac.id"
"231000865","Teman "
"231000866","Jejaring Sosial"
"231000867","Jejaring Sosial"
"231000867","Website Lain"
"231000868","Jejaring Sosial"
"231000868","Website infopmb.itpln.ac.id"
"231000868","Website Lain"
"231000869","Jejaring Sosial"
"231000870","Website infopmb.itpln.ac.id"
"231000871","Website infopmb.itpln.ac.id"
"231000872","Teman "
"231000872","Website infopmb.itpln.ac.id"
"231000873","Jejaring Sosial"
"231000874","Guru / Sekolah"
"231000874","Teman "
"231000874","Jejaring Sosial"
"231000874","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000874","Website infopmb.itpln.ac.id"
"231000874","Forum Diskusi Online"
"231000875","Teman "
"231000875","Website infopmb.itpln.ac.id"
"231000875","Forum Diskusi Online"
"231000875","Guru / Sekolah"
"231000876","Jejaring Sosial"
"231000876","Website infopmb.itpln.ac.id"
"231000877","Website infopmb.itpln.ac.id"
"231000878","Website infopmb.itpln.ac.id"
"231000879","Website infopmb.itpln.ac.id"
"231000880","Jejaring Sosial"
"231000881","Guru / Sekolah"
"231000882","Jejaring Sosial"
"231000883","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000883","Media Elektronik (Televisi, Radio)"
"231000884","Media Elektronik (Televisi, Radio)"
"231000885","Guru / Sekolah"
"231000885","Teman "
"231000885","Jejaring Sosial"
"231000885","Website Lain"
"231000885","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000885","Forum Diskusi Online"
"231000885","Website infopmb.itpln.ac.id"
"231000885","Media Cetak (Surat Kabar, Koran, Majalah)"
"231000885","Media Elektronik (Televisi, Radio)"
"231000887","Website infopmb.itpln.ac.id"
"231000888","Jejaring Sosial"
"231000889","Teman "
"231000889","Guru / Sekolah"
"231000890","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000891","Teman "
"231000892","Website Lain"
"231000892","Jejaring Sosial"
"231000894","Website infopmb.itpln.ac.id"
"231000894","Jejaring Sosial"
"231000896","Website infopmb.itpln.ac.id"
"231000897","Media Cetak (Surat Kabar, Koran, Majalah)"
"231000897","Website infopmb.itpln.ac.id"
"231000898","Website infopmb.itpln.ac.id"
"231000899","Jejaring Sosial"
"231000899","Website infopmb.itpln.ac.id"
"231000899","Teman "
"231000900","Website infopmb.itpln.ac.id"
"231000901","Website infopmb.itpln.ac.id"
"231000902","Website infopmb.itpln.ac.id"
"231000902","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000903","Teman "
"231000904","Teman "
"231000905","Teman "
"231000905","Website infopmb.itpln.ac.id"
"231000905","Jejaring Sosial"
"231000906","Website infopmb.itpln.ac.id"
"231000907","Teman "
"231000908","Website infopmb.itpln.ac.id"
"231000908","Jejaring Sosial"
"231000909","Website infopmb.itpln.ac.id"
"231000910","Jejaring Sosial"
"231000911","Website infopmb.itpln.ac.id"
"231000911","Jejaring Sosial"
"231000912","Website infopmb.itpln.ac.id"
"231000914","Guru / Sekolah"
"231000915","Jejaring Sosial"
"231000916","Jejaring Sosial"
"231000916","Teman "
"231000917","Teman "
"231000917","Jejaring Sosial"
"231000917","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000918","Jejaring Sosial"
"231000919","Website infopmb.itpln.ac.id"
"231000920","Jejaring Sosial"
"231000921","Jejaring Sosial"
"231000922","Website infopmb.itpln.ac.id"
"231000922","Jejaring Sosial"
"231000922","Guru / Sekolah"
"231000923","Website infopmb.itpln.ac.id"
"231000924","Jejaring Sosial"
"231000925","Website infopmb.itpln.ac.id"
"231000926","Website infopmb.itpln.ac.id"
"231000927","Jejaring Sosial"
"231000927","Website Lain"
"231000928","Website infopmb.itpln.ac.id"
"231000929","Jejaring Sosial"
"231000931","Teman "
"231000932","Guru / Sekolah"
"231000933","Jejaring Sosial"
"231000934","Jejaring Sosial"
"231000935","Website infopmb.itpln.ac.id"
"231000936","Jejaring Sosial"
"231000936","Guru / Sekolah"
"231000937","Website infopmb.itpln.ac.id"
"231000938","Jejaring Sosial"
"231000939","Website infopmb.itpln.ac.id"
"231000940","Teman "
"231000941","Teman "
"231000942","Jejaring Sosial"
"231000942","Teman "
"231000943","Jejaring Sosial"
"231000944","Guru / Sekolah"
"231000944","Teman "
"231000944","Jejaring Sosial"
"231000945","Jejaring Sosial"
"231000946","Media Elektronik (Televisi, Radio)"
"231000946","Website infopmb.itpln.ac.id"
"231000946","Teman "
"231000946","Jejaring Sosial"
"231000947","Website infopmb.itpln.ac.id"
"231000948","Guru / Sekolah"
"231000949","Jejaring Sosial"
"231000950","Teman "
"231000951","Media Elektronik (Televisi, Radio)"
"231000951","Website Lain"
"231000951","Forum Diskusi Online"
"231000952","Jejaring Sosial"
"231000953","Teman "
"231000954","Website infopmb.itpln.ac.id"
"231000955","Jejaring Sosial"
"231000956","Website infopmb.itpln.ac.id"
"231000957","Website infopmb.itpln.ac.id"
"231000958","Website Lain"
"231000958","Media Elektronik (Televisi, Radio)"
"231000958","Website infopmb.itpln.ac.id"
"231000958","Jejaring Sosial"
"231000960","Guru / Sekolah"
"231000961","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000961","Jejaring Sosial"
"231000962","Website infopmb.itpln.ac.id"
"231000963","Email / SMS Broadcast"
"231000964","Guru / Sekolah"
"231000964","Teman "
"231000965","Teman "
"231000966","Jejaring Sosial"
"231000967","Teman "
"231000967","Jejaring Sosial"
"231000967","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231000967","Media Elektronik (Televisi, Radio)"
"231000968","Media Elektronik (Televisi, Radio)"
"231000968","Guru / Sekolah"
"231000968","Website infopmb.itpln.ac.id"
"231000969","Jejaring Sosial"
"231000970","Forum Diskusi Online"
"231000971","Teman "
"231000972","Jejaring Sosial"
"231000973","Jejaring Sosial"
"231000974","Email / SMS Broadcast"
"231000975","Guru / Sekolah"
"231000976","Jejaring Sosial"
"231000977","Guru / Sekolah"
"231000977","Jejaring Sosial"
"231000978","Jejaring Sosial"
"231000979","Jejaring Sosial"
"231000980","Guru / Sekolah"
"231000981","Media Elektronik (Televisi, Radio)"
"231000983","Guru / Sekolah"
"231000984","Teman "
"231000985","Guru / Sekolah"
"231000985","Email / SMS Broadcast"
"231000985","Website infopmb.itpln.ac.id"
"231000985","Jejaring Sosial"
"231000985","Teman "
"231000986","Jejaring Sosial"
"231000987","Website Lain"
"231000987","Teman "
"231000988","Guru / Sekolah"
"231000989","Guru / Sekolah"
"231000990","Guru / Sekolah"
"231000991","Email / SMS Broadcast"
"231000991","Jejaring Sosial"
"231000992","Jejaring Sosial"
"231000993","Media Cetak (Surat Kabar, Koran, Majalah)"
"231000993","Website infopmb.itpln.ac.id"
"231000994","Jejaring Sosial"
"231000995","Jejaring Sosial"
"231000996","Jejaring Sosial"
"231000997","Teman "
"231000998","Website infopmb.itpln.ac.id"
"231000999","Jejaring Sosial"
"231000999","Website infopmb.itpln.ac.id"
"231001000","Media Cetak (Surat Kabar, Koran, Majalah)"
"231001001","Jejaring Sosial"
"231001002","Jejaring Sosial"
"231001004","Jejaring Sosial"
"231001004","Website infopmb.itpln.ac.id"
"231001005","Guru / Sekolah"
"231001006","Teman "
"231001007","Teman "
"231001007","Website Lain"
"231001007","Media Elektronik (Televisi, Radio)"
"231001007","Website infopmb.itpln.ac.id"
"231001008","Jejaring Sosial"
"231001009","Guru / Sekolah"
"231001010","Teman "
"231001011","Teman "
"231001012","Email / SMS Broadcast"
"231001012","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001012","Teman "
"231001012","Jejaring Sosial"
"231001013","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001014","Jejaring Sosial"
"231001014","Website infopmb.itpln.ac.id"
"231001015","Website infopmb.itpln.ac.id"
"231001016","Website Lain"
"231001017","Website infopmb.itpln.ac.id"
"231001018","Guru / Sekolah"
"231001019","Teman "
"231001020","Jejaring Sosial"
"231001020","Teman "
"231001021","Guru / Sekolah"
"231001022","Guru / Sekolah"
"231001023","Website infopmb.itpln.ac.id"
"231001024","Jejaring Sosial"
"231001026","Jejaring Sosial"
"231001027","Website infopmb.itpln.ac.id"
"231001028","Website infopmb.itpln.ac.id"
"231001028","Teman "
"231001029","Website infopmb.itpln.ac.id"
"231001030","Jejaring Sosial"
"231001031","Website infopmb.itpln.ac.id"
"231001032","Website infopmb.itpln.ac.id"
"231001033","Jejaring Sosial"
"231001034","Guru / Sekolah"
"231001035","Website infopmb.itpln.ac.id"
"231001036","Guru / Sekolah"
"231001037","Guru / Sekolah"
"231001038","Teman "
"231001038","Website infopmb.itpln.ac.id"
"231001039","Guru / Sekolah"
"231001040","Website infopmb.itpln.ac.id"
"231001041","Guru / Sekolah"
"231001044","Teman "
"231001045","Website infopmb.itpln.ac.id"
"231001046","Guru / Sekolah"
"231001047","Guru / Sekolah"
"231001048","Website infopmb.itpln.ac.id"
"231001048","Teman "
"231001049","Media Cetak (Surat Kabar, Koran, Majalah)"
"231001050","Website infopmb.itpln.ac.id"
"231001051","Website infopmb.itpln.ac.id"
"231001051","Media Cetak (Surat Kabar, Koran, Majalah)"
"231001052","Jejaring Sosial"
"231001053","Teman "
"231001054","Jejaring Sosial"
"231001055","Jejaring Sosial"
"231001056","Jejaring Sosial"
"231001056","Website infopmb.itpln.ac.id"
"231001057","Teman "
"231001058","Guru / Sekolah"
"231001059","Website infopmb.itpln.ac.id"
"231001061","Guru / Sekolah"
"231001062","Teman "
"231001063","Jejaring Sosial"
"231001064","Jejaring Sosial"
"231001065","Jejaring Sosial"
"231001066","Teman "
"231001067","Website infopmb.itpln.ac.id"
"231001068","Website infopmb.itpln.ac.id"
"231001069","Jejaring Sosial"
"231001070","Website infopmb.itpln.ac.id"
"231001071","Jejaring Sosial"
"231001072","Jejaring Sosial"
"231001072","Website infopmb.itpln.ac.id"
"231001073","Jejaring Sosial"
"231001073","Teman "
"231001074","Teman "
"231001074","Website infopmb.itpln.ac.id"
"231001074","Jejaring Sosial"
"231001075","Jejaring Sosial"
"231001076","Guru / Sekolah"
"231001077","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001077","Jejaring Sosial"
"231001078","Teman "
"231001079","Media Cetak (Surat Kabar, Koran, Majalah)"
"231001079","Teman "
"231001080","Guru / Sekolah"
"231001081","Guru / Sekolah"
"231001082","Guru / Sekolah"
"231001083","Guru / Sekolah"
"231001084","Jejaring Sosial"
"231001085","Website infopmb.itpln.ac.id"
"231001085","Teman "
"231001085","Jejaring Sosial"
"231001085","Website Lain"
"231001085","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001085","Forum Diskusi Online"
"231001085","Media Cetak (Surat Kabar, Koran, Majalah)"
"231001086","Website infopmb.itpln.ac.id"
"231001087","Guru / Sekolah"
"231001088","Email / SMS Broadcast"
"231001088","Forum Diskusi Online"
"231001088","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001088","Website infopmb.itpln.ac.id"
"231001089","Guru / Sekolah"
"231001090","Jejaring Sosial"
"231001091","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001092","Teman "
"231001092","Jejaring Sosial"
"231001092","Website Lain"
"231001093","Guru / Sekolah"
"231001094","Website infopmb.itpln.ac.id"
"231001095","Teman "
"231001096","Website infopmb.itpln.ac.id"
"231001097","Guru / Sekolah"
"231001098","Website infopmb.itpln.ac.id"
"231001099","Email / SMS Broadcast"
"231001100","Website infopmb.itpln.ac.id"
"231001101","Website infopmb.itpln.ac.id"
"231001102","Guru / Sekolah"
"231001103","Email / SMS Broadcast"
"231001104","Teman "
"231001104","Website Lain"
"231001105","Teman "
"231001106","Guru / Sekolah"
"231001107","Jejaring Sosial"
"231001108","Jejaring Sosial"
"231001108","Guru / Sekolah"
"231001109","Guru / Sekolah"
"231001110","Guru / Sekolah"
"231001110","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001110","Jejaring Sosial"
"231001111","Website infopmb.itpln.ac.id"
"231001112","Website infopmb.itpln.ac.id"
"231001113","Website infopmb.itpln.ac.id"
"231001114","Jejaring Sosial"
"231001115","Jejaring Sosial"
"231001116","Guru / Sekolah"
"231001116","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001116","Website infopmb.itpln.ac.id"
"231001116","Media Elektronik (Televisi, Radio)"
"231001117","Email / SMS Broadcast"
"231001117","Teman "
"231001117","Jejaring Sosial"
"231001117","Website infopmb.itpln.ac.id"
"231001118","Email / SMS Broadcast"
"231001119","Website infopmb.itpln.ac.id"
"231001120","Teman "
"231001120","Jejaring Sosial"
"231001121","Jejaring Sosial"
"231001122","Website infopmb.itpln.ac.id"
"231001122","Media Elektronik (Televisi, Radio)"
"231001123","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001124","Website infopmb.itpln.ac.id"
"231001125","Jejaring Sosial"
"231001125","Website Lain"
"231001126","Guru / Sekolah"
"231001127","Jejaring Sosial"
"231001128","Jejaring Sosial"
"231001129","Teman "
"231001130","Teman "
"231001130","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001131","Email / SMS Broadcast"
"231001132","Teman "
"231001133","Jejaring Sosial"
"231001134","Jejaring Sosial"
"231001135","Jejaring Sosial"
"231001135","Website Lain"
"231001135","Teman "
"231001135","Media Elektronik (Televisi, Radio)"
"231001136","Website infopmb.itpln.ac.id"
"231001137","Jejaring Sosial"
"231001138","Jejaring Sosial"
"231001139","Media Elektronik (Televisi, Radio)"
"231001140","Website Lain"
"231001141","Website infopmb.itpln.ac.id"
"231001142","Website infopmb.itpln.ac.id"
"231001142","Guru / Sekolah"
"231001142","Jejaring Sosial"
"231001143","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001144","Jejaring Sosial"
"231001146","Email / SMS Broadcast"
"231001147","Jejaring Sosial"
"231001148","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001149","Guru / Sekolah"
"231001150","Website infopmb.itpln.ac.id"
"231001151","Media Elektronik (Televisi, Radio)"
"231001151","Website infopmb.itpln.ac.id"
"231001152","Website infopmb.itpln.ac.id"
"231001152","Teman "
"231001153","Jejaring Sosial"
"231001154","Email / SMS Broadcast"
"231001155","Guru / Sekolah"
"231001155","Jejaring Sosial"
"231001155","Website Lain"
"231001156","Forum Diskusi Online"
"231001156","Jejaring Sosial"
"231001156","Teman "
"231001157","Jejaring Sosial"
"231001159","Jejaring Sosial"
"231001160","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001161","Teman "
"231001162","Jejaring Sosial"
"231001163","Guru / Sekolah"
"231001164","Email / SMS Broadcast"
"231001165","Jejaring Sosial"
"231001166","Media Elektronik (Televisi, Radio)"
"231001167","Jejaring Sosial"
"231001168","Jejaring Sosial"
"231001169","Jejaring Sosial"
"231001170","Teman "
"231001171","Website infopmb.itpln.ac.id"
"231001172","Website infopmb.itpln.ac.id"
"231001173","Jejaring Sosial"
"231001174","Website infopmb.itpln.ac.id"
"231001175","Teman "
"231001176","Jejaring Sosial"
"231001177","Website Lain"
"231001177","Website infopmb.itpln.ac.id"
"231001177","Jejaring Sosial"
"231001178","Jejaring Sosial"
"231001181","Teman "
"231001183","Jejaring Sosial"
"231001184","Jejaring Sosial"
"231001186","Website infopmb.itpln.ac.id"
"231001188","Jejaring Sosial"
"231001188","Website Lain"
"231001188","Website infopmb.itpln.ac.id"
"231001189","Website infopmb.itpln.ac.id"
"231001190","HIMDA"
"231001190","Email / SMS Broadcast"
"231001191","Guru / Sekolah"
"231001192","Teman "
"231001193","Teman "
"231001193","Guru / Sekolah"
"231001194","Media Elektronik (Televisi, Radio)"
"231001195","Jejaring Sosial"
"231001196","Website infopmb.itpln.ac.id"
"231001198","Teman "
"231001198","Website infopmb.itpln.ac.id"
"231001199","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001199","Guru / Sekolah"
"231001199","Teman "
"231001200","Guru / Sekolah"
"231001201","Teman "
"231001202","Teman "
"231001203","Teman "
"231001204","Teman "
"231001205","Website infopmb.itpln.ac.id"
"231001206","Guru / Sekolah"
"231001208","Guru / Sekolah"
"231001209","Website infopmb.itpln.ac.id"
"231001209","Media Cetak (Surat Kabar, Koran, Majalah)"
"231001210","Website Lain"
"231001211","Jejaring Sosial"
"231001212","Website infopmb.itpln.ac.id"
"231001213","Website infopmb.itpln.ac.id"
"231001214","Website infopmb.itpln.ac.id"
"231001214","Jejaring Sosial"
"231001215","Guru / Sekolah"
"231001216","Website infopmb.itpln.ac.id"
"231001216","Teman "
"231001217","Teman "
"231001218","Teman "
"231001219","Teman "
"231001220","Website infopmb.itpln.ac.id"
"231001220","Guru / Sekolah"
"231001221","Website infopmb.itpln.ac.id"
"231001221","Jejaring Sosial"
"231001221","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001222","Website infopmb.itpln.ac.id"
"231001223","Teman "
"231001224","Jejaring Sosial"
"231001224","Teman "
"231001224","Website Lain"
"231001225","Jejaring Sosial"
"231001225","Teman "
"231001226","Guru / Sekolah"
"231001227","Guru / Sekolah"
"231001228","Teman "
"231001228","Website infopmb.itpln.ac.id"
"231001229","Jejaring Sosial"
"231001231","Website infopmb.itpln.ac.id"
"231001232","Website infopmb.itpln.ac.id"
"231001232","Jejaring Sosial"
"231001232","Media Elektronik (Televisi, Radio)"
"231001233","Jejaring Sosial"
"231001233","Forum Diskusi Online"
"231001233","Website infopmb.itpln.ac.id"
"231001234","Teman "
"231001235","Jejaring Sosial"
"231001236","Guru / Sekolah"
"231001237","Website infopmb.itpln.ac.id"
"231001238","Jejaring Sosial"
"231001239","Teman "
"231001239","Jejaring Sosial"
"231001240","Website infopmb.itpln.ac.id"
"231001240","Jejaring Sosial"
"231001242","Website infopmb.itpln.ac.id"
"231001242","Jejaring Sosial"
"231001243","Teman "
"231001244","Media Elektronik (Televisi, Radio)"
"231001244","Jejaring Sosial"
"231001244","Website infopmb.itpln.ac.id"
"231001246","Jejaring Sosial"
"231001247","Teman "
"231001248","Guru / Sekolah"
"231001249","Jejaring Sosial"
"231001250","Website infopmb.itpln.ac.id"
"231001250","Jejaring Sosial"
"231001251","Website infopmb.itpln.ac.id"
"231001252","Website infopmb.itpln.ac.id"
"231001253","Website Lain"
"231001254","Jejaring Sosial"
"231001255","Jejaring Sosial"
"231001256","Jejaring Sosial"
"231001257","Guru / Sekolah"
"231001258","Guru / Sekolah"
"231001259","Teman "
"231001259","Website infopmb.itpln.ac.id"
"231001259","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001260","Website infopmb.itpln.ac.id"
"231001261","Website infopmb.itpln.ac.id"
"231001262","Jejaring Sosial"
"231001263","Forum Diskusi Online"
"231001264","Jejaring Sosial"
"231001264","Forum Diskusi Online"
"231001266","Website infopmb.itpln.ac.id"
"231001267","Jejaring Sosial"
"231001268","Website infopmb.itpln.ac.id"
"231001269","Teman "
"231001270","Website infopmb.itpln.ac.id"
"231001270","Jejaring Sosial"
"231001272","Jejaring Sosial"
"231001273","Teman "
"231001273","Website infopmb.itpln.ac.id"
"231001274","Website infopmb.itpln.ac.id"
"231001275","Teman "
"231001276","Website infopmb.itpln.ac.id"
"231001278","Teman "
"231001279","Guru / Sekolah"
"231001280","Website Lain"
"231001280","Jejaring Sosial"
"231001281","Website Lain"
"231001281","Website infopmb.itpln.ac.id"
"231001281","Jejaring Sosial"
"231001281","Media Elektronik (Televisi, Radio)"
"231001282","Jejaring Sosial"
"231001282","Website infopmb.itpln.ac.id"
"231001283","Website infopmb.itpln.ac.id"
"231001284","Jejaring Sosial"
"231001285","Website infopmb.itpln.ac.id"
"231001286","Website infopmb.itpln.ac.id"
"231001287","Website infopmb.itpln.ac.id"
"231001288","Media Cetak (Surat Kabar, Koran, Majalah)"
"231001288","Jejaring Sosial"
"231001288","Guru / Sekolah"
"231001289","Media Cetak (Surat Kabar, Koran, Majalah)"
"231001289","Media Elektronik (Televisi, Radio)"
"231001289","Website infopmb.itpln.ac.id"
"231001289","Website Lain"
"231001290","Jejaring Sosial"
"231001291","Jejaring Sosial"
"231001292","Website infopmb.itpln.ac.id"
"231001293","Website infopmb.itpln.ac.id"
"231001294","Jejaring Sosial"
"231001296","Forum Diskusi Online"
"231001296","Website infopmb.itpln.ac.id"
"231001297","Teman "
"231001297","Jejaring Sosial"
"231001299","Website infopmb.itpln.ac.id"
"231001300","Website Lain"
"231001300","Website infopmb.itpln.ac.id"
"231001300","Jejaring Sosial"
"231001301","Website infopmb.itpln.ac.id"
"231001302","Website infopmb.itpln.ac.id"
"231001302","Jejaring Sosial"
"231001302","Forum Diskusi Online"
"231001303","Teman "
"231001304","Guru / Sekolah"
"231001304","Website Lain"
"231001304","Teman "
"231001304","Website infopmb.itpln.ac.id"
"231001304","Jejaring Sosial"
"231001304","Forum Diskusi Online"
"231001305","Jejaring Sosial"
"231001305","Website infopmb.itpln.ac.id"
"231001306","Website infopmb.itpln.ac.id"
"231001307","Website infopmb.itpln.ac.id"
"231001308","Jejaring Sosial"
"231001309","Website infopmb.itpln.ac.id"
"231001309","Teman "
"231001310","Jejaring Sosial"
"231001310","Teman "
"231001311","Jejaring Sosial"
"231001312","Guru / Sekolah"
"231001313","Jejaring Sosial"
"231001314","Website infopmb.itpln.ac.id"
"231001315","Website infopmb.itpln.ac.id"
"231001315","Website Lain"
"231001315","Jejaring Sosial"
"231001316","Teman "
"231001317","Jejaring Sosial"
"231001317","Teman "
"231001317","Website infopmb.itpln.ac.id"
"231001317","Website Lain"
"231001318","Jejaring Sosial"
"231001319","Website infopmb.itpln.ac.id"
"231001320","Email / SMS Broadcast"
"231001320","Website infopmb.itpln.ac.id"
"231001321","Jejaring Sosial"
"231001321","Guru / Sekolah"
"231001321","Teman "
"231001322","Teman "
"231001323","Website infopmb.itpln.ac.id"
"231001324","Guru / Sekolah"
"231001326","Website infopmb.itpln.ac.id"
"231001326","Teman "
"231001327","Website infopmb.itpln.ac.id"
"231001327","Guru / Sekolah"
"231001327","Media Elektronik (Televisi, Radio)"
"231001328","Teman "
"231001329","Website infopmb.itpln.ac.id"
"231001331","Teman "
"231001331","Jejaring Sosial"
"231001332","Website Lain"
"231001332","Guru / Sekolah"
"231001332","Media Elektronik (Televisi, Radio)"
"231001333","Website infopmb.itpln.ac.id"
"231001333","Website Lain"
"231001333","Email / SMS Broadcast"
"231001334","Jejaring Sosial"
"231001335","Website infopmb.itpln.ac.id"
"231001335","Website Lain"
"231001336","Website infopmb.itpln.ac.id"
"231001337","Guru / Sekolah"
"231001338","Media Elektronik (Televisi, Radio)"
"231001338","Website infopmb.itpln.ac.id"
"231001338","Jejaring Sosial"
"231001338","Website Lain"
"231001339","Jejaring Sosial"
"231001340","Teman "
"231001341","Website infopmb.itpln.ac.id"
"231001342","Teman "
"231001343","Website infopmb.itpln.ac.id"
"231001344","Website Lain"
"231001344","Jejaring Sosial"
"231001345","Teman "
"231001346","Teman "
"231001347","Jejaring Sosial"
"231001348","Website infopmb.itpln.ac.id"
"231001348","Jejaring Sosial"
"231001348","Media Cetak (Surat Kabar, Koran, Majalah)"
"231001348","Media Elektronik (Televisi, Radio)"
"231001349","Teman "
"231001349","Website infopmb.itpln.ac.id"
"231001349","Jejaring Sosial"
"231001350","Guru / Sekolah"
"231001351","Jejaring Sosial"
"231001352","Website Lain"
"231001353","Teman "
"231001354","Teman "
"231001355","Jejaring Sosial"
"231001356","Website infopmb.itpln.ac.id"
"231001357","Website infopmb.itpln.ac.id"
"231001358","Teman "
"231001358","Website infopmb.itpln.ac.id"
"231001358","Jejaring Sosial"
"231001359","Jejaring Sosial"
"231001360","Jejaring Sosial"
"231001360","Teman "
"231001360","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001361","Website infopmb.itpln.ac.id"
"231001362","Guru / Sekolah"
"231001363","Website infopmb.itpln.ac.id"
"231001364","Website Lain"
"231001364","Guru / Sekolah"
"231001365","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001365","Jejaring Sosial"
"231001366","Jejaring Sosial"
"231001366","Media Elektronik (Televisi, Radio)"
"231001366","Teman "
"231001367","Teman "
"231001368","Website Lain"
"231001369","Teman "
"231001370","Website infopmb.itpln.ac.id"
"231001371","Website infopmb.itpln.ac.id"
"231001371","Media Cetak (Surat Kabar, Koran, Majalah)"
"231001372","Website Lain"
"231001372","Jejaring Sosial"
"231001372","Website infopmb.itpln.ac.id"
"231001373","Website infopmb.itpln.ac.id"
"231001374","Jejaring Sosial"
"231001375","Jejaring Sosial"
"231001377","Jejaring Sosial"
"231001377","Email / SMS Broadcast"
"231001378","Website infopmb.itpln.ac.id"
"231001379","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001379","Website infopmb.itpln.ac.id"
"231001379","Jejaring Sosial"
"231001380","Jejaring Sosial"
"231001381","Jejaring Sosial"
"231001382","Teman "
"231001383","Jejaring Sosial"
"231001384","Jejaring Sosial"
"231001384","Website infopmb.itpln.ac.id"
"231001385","Jejaring Sosial"
"231001385","Media Promosi Cetak (Poster, Flyer, Brosur)"
"231001386","Website infopmb.itpln.ac.id"
"231001386","Jejaring Sosial"
"231001388","Teman "
